kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
亜,7,1509,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji'}",{'二': 'two'},{'ア': 'http:////jisho.org/search/%E4%BA%9C%20%E3%81%82'},{'つ.ぐ': 'http:////jisho.org/search/%E4%BA%9C%20%E3%81%A4%E3%81%90'},"['亜  【ア】  sub-, -ous (indicating a low oxidation state), -ite', '亜鉛  【アエン】  zinc (Zn)', '東亜  【トウア】  East Asia, the Orient', '印度尼西亜  【インドネシア】  Indonesia']","['次ぐ  【つぐ】  to rank next to, to come after']"
哀,9,1715,junior high,N1,"{'亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '衣': 'http:////jisho.org/search/%E8%A1%A3%20%23kanji'}","{'口': 'mouth, opening'}",{'アイ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%81%84'},"{'あわ.れ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%82%8F%E3%82%8C', 'あわ.れむ': 'http:////jisho.org/search/%E5%93%80%20%E3%81%82%E3%82%8F%E3%82%8C%E3%82%80', 'かな.しい': 'http:////jisho.org/search/%E5%93%80%20%E3%81%8B%E3%81%AA%E3%81%97%E3%81%84'}","['哀悼  【アイトウ】  condolence, regret, tribute, sorrow, sympathy, lament', '哀愁  【アイシュウ】  pathos, sorrow, grief', '哀々  【アイアイ】  deeply sad']","['哀れ  【あわれ】  pity, sorrow, grief, misery, compassion, pathos, pitiable, pitiful, pathetic, miserable, alack, alas', '哀れむ  【あわれむ】  to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on, to enjoy the beauty of, to appreciate, to admire', '哀れむ  【あわれむ】  to pity, to feel sympathy for, to sympathize with, to sympathise with, to commiserate with, to have mercy on, to enjoy the beauty of, to appreciate, to admire', '悲しい  【かなしい】  sad, miserable, unhappy, sorrowful, sad, lamentable, deplorable, grievous', '悲しいかな  【かなしいかな】  sad to say, how sad, alas']"
挨,10,2258,junior high,,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'手 (扌龵)': 'hand'},{'アイ': 'http:////jisho.org/search/%E6%8C%A8%20%E3%81%82%E3%81%84'},{'ひら.く': 'http:////jisho.org/search/%E6%8C%A8%20%E3%81%B2%E3%82%89%E3%81%8F'},"['挨拶  【アイサツ】  greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody, polite set phrase used to express apology, sympathy, congratulations, etc., speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say, dialoging (with another Zen practitioner to ascertain their level of enlightenment), relationship (between people), connection, intervention, mediation, mediator', '挨拶代わり  【アイサツガワリ】  substitute for a proper greeting (e.g. gift)']",
愛,13,640,grade 4,N3,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '爪': 'http:////jisho.org/search/%E7%88%AA%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}",{'アイ': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%82%E3%81%84'},"{'いと.しい': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%84%E3%81%A8%E3%81%97%E3%81%84', 'かな.しい': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%8B%E3%81%AA%E3%81%97%E3%81%84', 'め.でる': 'http:////jisho.org/search/%E6%84%9B%20%E3%82%81%E3%81%A7%E3%82%8B', 'お.しむ': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%8A%E3%81%97%E3%82%80', 'まな': 'http:////jisho.org/search/%E6%84%9B%20%E3%81%BE%E3%81%AA'}","['愛  【アイ】  love, affection, care, attachment, craving, desire', '愛犬  【アイケン】  pet dog, beloved dog', '友愛  【ユウアイ】  fraternity, friendship', '同性愛  【ドウセイアイ】  homosexual love']","['愛しい  【いとしい】  lovely, dear, beloved, darling, dearest, pitiable, pitiful', '悲しい  【かなしい】  sad, miserable, unhappy, sorrowful, sad, lamentable, deplorable, grievous', '愛でる  【めでる】  to love, to cherish, to admire, to appreciate', '惜しむ  【おしむ】  to be frugal, to be sparing, to value, to hold dear, to regret (e.g. a loss), to feel sorry (for), to be unwilling, to be reluctant', '愛  【まな】  beloved, dear', ""愛弟子  【まなでし】  favorite pupil, favourite pupil, teacher's pet""]"
曖,17,,junior high,,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '爪': 'http:////jisho.org/search/%E7%88%AA%20%23kanji'}","{'日': 'sun, day'}",{'アイ': 'http:////jisho.org/search/%E6%9B%96%20%E3%81%82%E3%81%84'},{'くら.い': 'http:////jisho.org/search/%E6%9B%96%20%E3%81%8F%E3%82%89%E3%81%84'},"['曖昧  【アイマイ】  vague, ambiguous, unclear, fuzzy', '曖曖  【アイアイ】  dim, faint, unclear', '曖曖  【アイアイ】  dim, faint, unclear']",
悪,11,530,grade 3,N4,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}","{'アク': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%8F', 'オ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%8A'}","{'わる.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%82%8F%E3%82%8B%E3%81%84', 'わる-': 'http:////jisho.org/search/%E6%82%AA%20%E3%82%8F%E3%82%8B', 'あ.し': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%97', 'にく.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%81%84', '-にく.い': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%81%84', 'ああ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%82%E3%81%82', 'いずくに': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%84%E3%81%9A%E3%81%8F%E3%81%AB', 'いずくんぞ': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%84%E3%81%9A%E3%81%8F%E3%82%93%E3%81%9E', 'にく.む': 'http:////jisho.org/search/%E6%82%AA%20%E3%81%AB%E3%81%8F%E3%82%80'}","['悪  【アク】  evil, wickedness', '悪質  【アクシツ】  malicious, vicious, malignant, underhanded, shoddy, inferior, poor-quality, second-rate', '害悪  【ガイアク】  harm, injury, evil (influence)', '改悪  【カイアク】  deterioration, changing for the worse', '悪寒  【オカン】  chill, shakes, ague', '悪血  【アクチ】  impure blood', '自己嫌悪  【ジコケンオ】  self-hatred, self-abhorrence, self-loathing', '好悪  【コウオ】  likes and dislikes']","['悪い  【わるい】  bad, poor, undesirable, poor (quality), inferior, insufficient, evil, sinful, ugly, not beautiful, at fault, to blame, in the wrong, bad (at doing something), unprofitable, unbeneficial, sorry, (my) bad, unforgivable', '悪い行い  【わるいおこない】  bad deed, evil deed', '悪し  【あし】  evil', ""悪しからず  【あしからず】  don't get me wrong, but ..., I'm sorry"", '難い  【にくい】  difficult to ..., hard to ...', '憎い  【にくい】  hateful, abominable, poor-looking, detestable, amazing, fantastic, admirable, lovely, wonderful', '憎む  【にくむ】  to hate, to detest']"
握,12,1003,junior high,N1,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '至': 'http:////jisho.org/search/%E8%87%B3%20%23kanji'}",{'手 (扌龵)': 'hand'},{'アク': 'http:////jisho.org/search/%E6%8F%A1%20%E3%81%82%E3%81%8F'},{'にぎ.る': 'http:////jisho.org/search/%E6%8F%A1%20%E3%81%AB%E3%81%8E%E3%82%8B'},"['握手  【アクシュ】  handshake', '握力  【アクリョク】  grip (of hand), grip strength', '一握  【イチアク】  handful', '動向把握  【ドウコウハアク】  grasping the trend, firmly understanding how the situation is developing, getting a good sense of how things are changing']","['握る  【にぎる】  to clasp, to grasp, to grip, to clutch, to make (nigirizushi, rice ball, etc.), to form, to press into shape, to mold, to mould, to seize (power, etc.), to take hold of']"
圧,5,718,grade 5,N2,"{'厂': 'http:////jisho.org/search/%E5%8E%82%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}",{'土': 'earth'},"{'アツ': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%82%E3%81%A4', 'エン': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%88%E3%82%93', 'オウ': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%86'}","{'お.す': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%99', 'へ.す': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%B8%E3%81%99', 'おさ.える': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%95%E3%81%88%E3%82%8B', 'お.さえる': 'http:////jisho.org/search/%E5%9C%A7%20%E3%81%8A%E3%81%95%E3%81%88%E3%82%8B'}","['圧  【アツ】  pressure, force', '圧力  【アツリョク】  pressure, stress, pressure (e.g. political), coercion, arm-twisting', '高圧  【コウアツ】  high voltage, high pressure', '外圧  【ガイアツ】  external pressure, outside pressure, foreign pressure', '圧状  【オウジョウ】  document written under duress, coercion']","['押す  【おす】  to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal, to affix (e.g. gold leaf), to press (someone for something), to urge, to compel, to influence, to overwhelm, to overpower, to repress, to push (events along), to advance (a plan), to do in spite of ..., to do even though ..., to force, to make sure, to be pressed for time, to advance troops, to attack, (of light) to be diffused across an entire surface', '圧す  【へす】  to dent, to press, to push']"
扱,6,1057,junior high,N1,"{'扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '及': 'http:////jisho.org/search/%E5%8F%8A%20%23kanji'}",{'手 (扌龵)': 'hand'},"{'ソウ': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%9D%E3%81%86', 'キュウ': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%8D%E3%82%85%E3%81%86'}","{'あつか.い': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%81%84', 'あつか.う': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%81%86', 'あつか.る': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%82%E3%81%A4%E3%81%8B%E3%82%8B', 'こ.く': 'http:////jisho.org/search/%E6%89%B1%20%E3%81%93%E3%81%8F'}","['扱い  【あつかい】  treatment, service', '扱い方  【あつかいかた】  how to manage (e.g. case), how to handle (e.g. machine), way with (e.g. children, animal)', '扱う  【あつかう】  to deal with (a person), to treat, to handle, to take care of, to entertain, to deal with (a problem), to handle, to manage, to operate (e.g. a machine), to handle, to work, to deal in, to sell, to cover (a topic), to treat, to discuss, to take up, to treat A as B, to mediate (an argument), to be too much for one, to find unmanageable, to gossip', '扱く  【こく】  to thresh, to strip']",
宛,8,,junior high,,"{'卩': 'http:////jisho.org/search/%E5%8D%A9%20%23kanji', '夕': 'http:////jisho.org/search/%E5%A4%95%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji'}",{'宀': 'roof'},{'エン': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%88%E3%82%93'},"{'あ.てる': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%A6%E3%82%8B', '-あて': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%A6', '-づつ': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%A5%E3%81%A4', 'あたか.も': 'http:////jisho.org/search/%E5%AE%9B%20%E3%81%82%E3%81%9F%E3%81%8B%E3%82%82'}","['宛然  【エンゼン】  as if, the very thing itself', '宛転  【エンテン】  eloquent, fluent, smooth-spoken, sonorous, facile, silver-tongued, (of eyebrows) shapely']","['宛てる  【あてる】  to address', '恰も  【あたかも】  as if, as it were, as though, right then, just then, at that moment']"
嵐,12,1910,junior high,N1,"{'山': 'http:////jisho.org/search/%E5%B1%B1%20%23kanji', '風': 'http:////jisho.org/search/%E9%A2%A8%20%23kanji'}",{'山': 'mountain'},{'ラン': 'http:////jisho.org/search/%E5%B5%90%20%E3%82%89%E3%82%93'},{'あらし': 'http:////jisho.org/search/%E5%B5%90%20%E3%81%82%E3%82%89%E3%81%97'},"['嵐気  【ランキ】  mountain mist, mountain air', '青嵐  【アオアラシ】  wind blowing through fresh verdure, mountain air', '翠嵐  【スイラン】  the sense of being engulfed in a green, mountainous atmosphere']","['嵐  【あらし】  storm, tempest, storm, hullaballoo, uproar, winds (e.g. of change)', '嵐の大洋  【あらしのたいよう】  Oceanus Procellarum (lunar mare), Ocean of Storms', '青嵐  【あおあらし】  wind blowing through fresh verdure, mountain air', '磁気嵐  【じきあらし】  magnetic storm']"
安,6,144,grade 3,N4,"{'女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji'}",{'宀': 'roof'},{'アン': 'http:////jisho.org/search/%E5%AE%89%20%E3%81%82%E3%82%93'},"{'やす.い': 'http:////jisho.org/search/%E5%AE%89%20%E3%82%84%E3%81%99%E3%81%84', 'やす.まる': 'http:////jisho.org/search/%E5%AE%89%20%E3%82%84%E3%81%99%E3%81%BE%E3%82%8B', 'やす': 'http:////jisho.org/search/%E5%AE%89%20%E3%82%84%E3%81%99', 'やす.らか': 'http:////jisho.org/search/%E5%AE%89%20%E3%82%84%E3%81%99%E3%82%89%E3%81%8B'}","['安価  【アンカ】  low-priced, cheap, inexpensive, shallow (e.g. sympathy), superficial, cheap (e.g. government)', '安易  【アンイ】  easy, simple, easygoing, lighthearted, simplistic, irresponsible, careless, quick (to do)', '平安  【ヘイアン】  peace, tranquility, tranquillity, Heian era (794-1185)', '慰安  【イアン】  solace, relaxation']","['安い  【やすい】  cheap, inexpensive, calm, peaceful, quiet', '休まる  【やすまる】  to be rested, to feel at ease, to repose, to be relieved', '安  【やす】  cheap, rash, thoughtless, careless, indiscreet, frivolous', '安上がり  【やすあがり】  cheap, economical', '目安  【めやす】  criterion, standard, yardstick, reference, aim, rough estimate, approximation', '最安  【さいやす】  cheapest, lowest price', '安らか  【やすらか】  peaceful, tranquil, calm, restful']"
案,10,206,grade 4,N1,"{'女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji'}",{'木': 'tree'},{'アン': 'http:////jisho.org/search/%E6%A1%88%20%E3%81%82%E3%82%93'},{'つくえ': 'http:////jisho.org/search/%E6%A1%88%20%E3%81%A4%E3%81%8F%E3%81%88'},"['案  【アン】  idea, plan, proposal, suggestion, (government) bill, draft, rough copy, expectation, desk, stand', '案外  【アンガイ】  unexpectedly, surprisingly, unexpected, unanticipated, unforeseen, surprising', '対案  【タイアン】  counter-proposal, counter-suggestion', '成案  【セイアン】  definite plan']","['机  【つくえ】  desk', '八足の机  【やつあしのつくえ】  eight-legged table (used as a stand for religious offerings, etc.)']"
暗,13,1040,grade 3,N3,"{'日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}","{'日': 'sun, day'}",{'アン': 'http:////jisho.org/search/%E6%9A%97%20%E3%81%82%E3%82%93'},"{'くら.い': 'http:////jisho.org/search/%E6%9A%97%20%E3%81%8F%E3%82%89%E3%81%84', 'くら.む': 'http:////jisho.org/search/%E6%9A%97%20%E3%81%8F%E3%82%89%E3%82%80', 'くれ.る': 'http:////jisho.org/search/%E6%9A%97%20%E3%81%8F%E3%82%8C%E3%82%8B'}","['暗黒  【アンコク】  darkness', '暗雲  【アンウン】  dark clouds', '明暗  【メイアン】  light and darkness, light and shade', '冥暗  【メイアン】  gloom, shade']","['暗い  【くらい】  dark, gloomy, murky, depressed, dispirited, down in the dumps, dark (mood), dark (in colour), dull, ill-boding, dark (e.g. past), suspicious, unlikely (to succeed), hopeless, unpromising, unfamiliar (with), ignorant (of)', '暗い過去  【くらいかこ】  shadowy past, murky past', '眩む  【くらむ】  to be dazzled by, to be dizzied by, to be disoriented by, to be lost in (greed, lust, etc.), to become dark', '暮れる  【くれる】  to get dark, to grow dark, to end (of a day, year, season, etc.), to come to an end, to close, to be sunk in (e.g. despair), to be lost in (e.g. thought), to be overcome with']"
以,5,126,grade 4,N4,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji'}","{'人 (亻)': 'man, human'}",{'イ': 'http:////jisho.org/search/%E4%BB%A5%20%E3%81%84'},{'もっ.て': 'http:////jisho.org/search/%E4%BB%A5%20%E3%82%82%E3%81%A3%E3%81%A6'},"['以降  【イコウ】  on and after, as from, hereafter, thereafter, since', '以下  【イカ】  not exceeding, and downward, ... and below, below (e.g. standard), under (e.g. a level), the below-mentioned, the following, the rest', '縞曹以  【シマソイ】  threestripe rockfish (Sebastes trivittatus)', '斑曹以  【ムラソイ】  spotbelly rockfish (Sebastes pachycephalus)']","['以て  【もって】  with, by, by means of, because of, on account of, for, due to, on (a day, date), at (a time), as of (e.g. today), adds emphasis to preceding word, in addition (to being), moreover, as well as, and, therefore, and so, hence', '以てする  【もってする】  to do by the use of']"
衣,6,1214,grade 4,N2,"{'亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '衣': 'http:////jisho.org/search/%E8%A1%A3%20%23kanji'}",{'衣 (衤)': 'clothes'},"{'イ': 'http:////jisho.org/search/%E8%A1%A3%20%E3%81%84', 'エ': 'http:////jisho.org/search/%E8%A1%A3%20%E3%81%88'}","{'ころも': 'http:////jisho.org/search/%E8%A1%A3%20%E3%81%93%E3%82%8D%E3%82%82', 'きぬ': 'http:////jisho.org/search/%E8%A1%A3%20%E3%81%8D%E3%81%AC', '-ぎ': 'http:////jisho.org/search/%E8%A1%A3%20%E3%81%8E'}","['衣  【キヌ】  clothing, garment, dress', '衣装  【イショウ】  clothing, costume, outfit, garment, dress', '着衣  【チャクイ】  clothes (that one is wearing), wearing clothes', ""脱衣  【ダツイ】  undressing, taking off one's clothes"", ""衣鉢  【イハツ】  mysteries of one's master's art, robes and a bowl (monk's key possessions auctioned off at his funeral), transmission of the dharma from master to disciple (in Zen)"", '衣紋  【エモン】  dress, clothes, drapery', '着衣  【チャクイ】  clothes (that one is wearing), wearing clothes', ""衣替え  【コロモガエ】  seasonal change of clothing, changing (one's) dress for the season, renovation, facelift, changing appearance""]","['衣  【ころも】  clothes, garment, gown, robe, coating (e.g. glaze, batter, icing)', ""衣替え  【ころもがえ】  seasonal change of clothing, changing (one's) dress for the season, renovation, facelift, changing appearance"", '砂糖の衣  【さとうのころも】  frosting (e.g. on a cake), icing', '紅葉の衣  【もみじのころも】  comparing beautiful autumn leaves to a garment', '衣  【きぬ】  clothing, garment, dress', '如月  【きさらぎ】  second month of the lunar calendar']"
位,7,276,grade 4,N3,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji'}","{'人 (亻)': 'man, human'}",{'イ': 'http:////jisho.org/search/%E4%BD%8D%20%E3%81%84'},"{'くらい': 'http:////jisho.org/search/%E4%BD%8D%20%E3%81%8F%E3%82%89%E3%81%84', 'ぐらい': 'http:////jisho.org/search/%E4%BD%8D%20%E3%81%90%E3%82%89%E3%81%84'}","['位  【イ】  rank, place (e.g. first place), decimal place, counter for ghosts', '位置  【イチ】  place, situation, position, location', '部位  【ブイ】  part (esp. of the body), region, site, cut (of meat)', '高位  【コウイ】  dignity, eminent, high ranking, high-order (digit, bit, etc.)']","[""位  【くらい】  throne, crown, (nobleman's) seat, government position, court rank, social standing, rank, class, echelon, rung, grade (of quality, etc.), level, tier, rank, position of a figure (e.g. tens, thousands), digit, (decimal) place, degree, extent, amount"", '位が昇る  【くらいがのぼる】  to rise in rank']"
囲,7,771,grade 4,N2,"{'囗': 'http:////jisho.org/search/%E5%9B%97%20%23kanji', '井': 'http:////jisho.org/search/%E4%BA%95%20%23kanji'}",{'囗': 'enclosure'},{'イ': 'http:////jisho.org/search/%E5%9B%B2%20%E3%81%84'},"{'かこ.む': 'http:////jisho.org/search/%E5%9B%B2%20%E3%81%8B%E3%81%93%E3%82%80', 'かこ.う': 'http:////jisho.org/search/%E5%9B%B2%20%E3%81%8B%E3%81%93%E3%81%86', 'かこ.い': 'http:////jisho.org/search/%E5%9B%B2%20%E3%81%8B%E3%81%93%E3%81%84'}","['囲碁  【イゴ】  go, board game of capturing territory', '囲郭村  【イカクソン】  walled settlement, walled town', '解囲  【カイイ】  breaking the enemy siege', '外囲  【ガイイ】  periphery, surroundings']","['囲む  【かこむ】  to surround, to encircle, to enclose, to fence, to wall in, to besiege, to lay siege to, to play (go, shogi, etc.)', '囲う  【かこう】  to enclose, to surround, to encircle, to fence, to wall in, to shelter (e.g. a criminal), to shield, to hide, to protect, to keep (e.g. a mistress), to store (vegetables, fruit, etc.), to preserve, to protect', '囲い  【かこい】  enclosure, fence, wall, pen, paling, storage (of fruit, vegetables, etc.), partitioned area of a room for conducting tea ceremonies, mistress, castle, strong defensive position', '囲い女  【かこいおんな】  mistress']"
医,7,437,grade 3,N4,"{'匚': 'http:////jisho.org/search/%E5%8C%9A%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'匸': 'hiding enclosure'},{'イ': 'http:////jisho.org/search/%E5%8C%BB%20%E3%81%84'},"{'い.やす': 'http:////jisho.org/search/%E5%8C%BB%20%E3%81%84%E3%82%84%E3%81%99', 'い.する': 'http:////jisho.org/search/%E5%8C%BB%20%E3%81%84%E3%81%99%E3%82%8B', 'くすし': 'http:////jisho.org/search/%E5%8C%BB%20%E3%81%8F%E3%81%99%E3%81%97'}","['医  【イ】  medicine, the healing art, healing, curing, doctor', ""医院  【イイン】  doctor's office (surgery), clinic, dispensary"", '軍医  【グンイ】  military physician or surgeon', '校医  【コウイ】  school doctor']","['医する  【いする】  to cure, to heal', '薬師  【くすし】  doctor']"
依,8,906,junior high,N2,"{'亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '衣': 'http:////jisho.org/search/%E8%A1%A3%20%23kanji'}","{'人 (亻)': 'man, human'}","{'イ': 'http:////jisho.org/search/%E4%BE%9D%20%E3%81%84', 'エ': 'http:////jisho.org/search/%E4%BE%9D%20%E3%81%88'}",{'よ.る': 'http:////jisho.org/search/%E4%BE%9D%20%E3%82%88%E3%82%8B'},"['依然  【イゼン】  still, as yet, as it has been', '委嘱  【イショク】  commissioning, entrusting (with), request, appointment (to a position)', '憑依  【ヒョウイ】  dependence, depending on, possession (by a spirit, etc.)', '偏倚  【ヘンイ】  deviation, bias', '依蘭苔  【エイランタイ】  Iceland moss (Cetraria islandica), Iceland lichen', '依估  【イコ】  unfairness', '帰依  【キエ】  becoming a devout believer, (religious) conversion']","['因る  【よる】  to be due to, to be caused by, to depend on, to turn on, to be based on, to come from, to be based at (a location, an organization), to be headquartered at', '依ると  【よると】  according to']"
委,8,187,grade 3,N2,"{'女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}","{'女': 'woman, female'}",{'イ': 'http:////jisho.org/search/%E5%A7%94%20%E3%81%84'},{'ゆだ.ねる': 'http:////jisho.org/search/%E5%A7%94%20%E3%82%86%E3%81%A0%E3%81%AD%E3%82%8B'},"['委員  【イイン】  committee member', '委員会  【イインカイ】  committee, commission, board, panel, committee meeting', '公取委  【コウトリイ】  Japan Fair Trade Commission', '実行委  【ジッコウイ】  action committee, executive committee']","['委ねる  【ゆだねる】  to entrust (a matter) to, to leave to, to abandon oneself to (e.g. pleasure), to yield to (e.g. anger), to devote oneself to']"
威,9,1103,junior high,N1,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '厂': 'http:////jisho.org/search/%E5%8E%82%20%23kanji', '女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '戈': 'http:////jisho.org/search/%E6%88%88%20%23kanji'}","{'女': 'woman, female'}",{'イ': 'http:////jisho.org/search/%E5%A8%81%20%E3%81%84'},"{'おど.す': 'http:////jisho.org/search/%E5%A8%81%20%E3%81%8A%E3%81%A9%E3%81%99', 'おど.し': 'http:////jisho.org/search/%E5%A8%81%20%E3%81%8A%E3%81%A9%E3%81%97', 'おど.かす': 'http:////jisho.org/search/%E5%A8%81%20%E3%81%8A%E3%81%A9%E3%81%8B%E3%81%99'}","['威  【イ】  power, authority, might, influence, dignity, majesty', '威嚇  【イカク】  threat, intimidation, menace', ""球威  【キュウイ】  (pitcher's) stuff"", '国威  【コクイ】  national prestige']","['脅す  【おどす】  to threaten, to menace, to frighten (into doing)', '縅  【おどし】  leather strap binding the plates of traditional Japanese armor (armour)', '脅かす  【おどかす】  to threaten, to menace, to intimidate, to startle, to frighten, to scare']"
