kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
脅,10,1183,junior high,N1,"{'力': 'http:////jisho.org/search/%E5%8A%9B%20%23kanji', '月': 'http:////jisho.org/search/%E6%9C%88%20%23kanji'}",{'肉 (⺼)': 'meat'},{'キョウ': 'http:////jisho.org/search/%E8%84%85%20%E3%81%8D%E3%82%87%E3%81%86'},"{'おびや.かす': 'http:////jisho.org/search/%E8%84%85%20%E3%81%8A%E3%81%B3%E3%82%84%E3%81%8B%E3%81%99', 'おど.す': 'http:////jisho.org/search/%E8%84%85%20%E3%81%8A%E3%81%A9%E3%81%99', 'おど.かす': 'http:////jisho.org/search/%E8%84%85%20%E3%81%8A%E3%81%A9%E3%81%8B%E3%81%99'}","['脅迫  【キョウハク】  threat, menace, coercion, terrorism', '脅威  【キョウイ】  threat, menace']","['脅かす  【おびやかす】  to intimidate, to frighten, to scare, to threaten (e.g. peace), to jeopardize, to endanger, to imperil', '脅す  【おどす】  to threaten, to menace, to frighten (into doing)', '脅かす  【おどかす】  to threaten, to menace, to intimidate, to startle, to frighten, to scare']"
強,11,112,grade 2,N4,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '弓': 'http:////jisho.org/search/%E5%BC%93%20%23kanji', '虫': 'http:////jisho.org/search/%E8%99%AB%20%23kanji'}",{'弓': 'bow'},"{'キョウ': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%8D%E3%82%87%E3%81%86', 'ゴウ': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%94%E3%81%86'}","{'つよ.い': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%A4%E3%82%88%E3%81%84', 'つよ.まる': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%A4%E3%82%88%E3%81%BE%E3%82%8B', 'つよ.める': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%A4%E3%82%88%E3%82%81%E3%82%8B', 'し.いる': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%97%E3%81%84%E3%82%8B', 'こわ.い': 'http:////jisho.org/search/%E5%BC%B7%20%E3%81%93%E3%82%8F%E3%81%84'}","['強  【キョウ】  a little over, a little more than, powerhouse, one of the biggest, one of the most powerful', '強化  【キョウカ】  strengthening, intensifying, reinforcement, enhancement, solidification', '列強  【レッキョウ】  major powers of the world, great powers', '屈強  【クッキョウ】  robust, brawny, muscular, strong, sturdy', '強盗  【ゴウトウ】  robber, mugger, robbery, burglary', '強引  【ゴウイン】  overbearing, coercive, pushy, forcible, high-handed']","['強い  【つよい】  strong, potent, competent, domineering, tough, strong, brawny, powerful, healthy, rugged, good (at), skilled, knowledgeable, being able to handle, know how to deal (with), durable (against), resistant (to), resilient, firm, rigid, solid, intense, strong, fierce, high, dependable, trustworthy', '強い心  【つよいこころ】  stout heart, strong mind', '強まる  【つよまる】  to get strong, to gain strength', '強める  【つよめる】  to strengthen, to emphasize, to emphasise', '強いる  【しいる】  to force, to compel, to coerce, to press, to impose', '強い  【こわい】  tough, stiff, hard, inflexible, obstinate, stubborn', '強飯  【こわめし】  glutinous rice with red beans (eaten on celebratory occasions), mochi rice with red beans']"
教,11,166,grade 2,N4,"{'子': 'http:////jisho.org/search/%E5%AD%90%20%23kanji', '老': 'http:////jisho.org/search/%E8%80%81%20%23kanji', '攵': 'http:////jisho.org/search/%E6%94%B5%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'攴 (攵)': 'rap'},{'キョウ': 'http:////jisho.org/search/%E6%95%99%20%E3%81%8D%E3%82%87%E3%81%86'},"{'おし.える': 'http:////jisho.org/search/%E6%95%99%20%E3%81%8A%E3%81%97%E3%81%88%E3%82%8B', 'おそ.わる': 'http:////jisho.org/search/%E6%95%99%20%E3%81%8A%E3%81%9D%E3%82%8F%E3%82%8B'}","['教育委員会  【キョウイクイインカイ】  Board of Education', '教育  【キョウイク】  education, schooling, training, instruction, teaching, upbringing, culture, cultivation, education', '政教  【セイキョウ】  religion and politics, church and state', '正教  【セイキョウ】  orthodoxy, (Greek) orthodox church']","['教える  【おしえる】  to teach, to instruct, to tell, to inform, to preach', '教わる  【おそわる】  to be taught (by), to learn from']"
郷,11,1077,grade 6,N1,"{'幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '邦': 'http:////jisho.org/search/%E9%82%A6%20%23kanji', '艮': 'http:////jisho.org/search/%E8%89%AE%20%23kanji'}",{'邑 (阝)': 'town (阝 right)'},"{'キョウ': 'http:////jisho.org/search/%E9%83%B7%20%E3%81%8D%E3%82%87%E3%81%86', 'ゴウ': 'http:////jisho.org/search/%E9%83%B7%20%E3%81%94%E3%81%86'}",{'さと': 'http:////jisho.org/search/%E9%83%B7%20%E3%81%95%E3%81%A8'},"['郷  【キョウ】  hometown, rural township (of China)', '郷愁  【キョウシュウ】  nostalgia, homesickness', '同郷  【ドウキョウ】  same village, same town, same province', '理想郷  【リソウキョウ】  ideal land, earthly paradise, Utopia, Arcadia', '郷  【ゴウ】  countryside, country, 50-home township (comprised of 2-3 neighbourhoods)', '郷学  【ゴウガク】  village school (esp. in Edo-era Japan, and ancient Korea and China)', '水郷  【スイゴウ】  beautiful riverside location, lakeside district, canal district', '大西郷  【ダイサイゴウ】  the Great Saigo']","[""里  【さと】  village, hamlet, countryside, country, home (of one's parents, etc.), hometown, one's origins, one's upbringing, one's past"", '無何有の郷  【むかうのさと】  utopia, (natural) paradise', ""第二の故郷  【だいにのこきょう】  one's second home, home away from home""]"
境,14,346,grade 5,N2,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}",{'土': 'earth'},"{'キョウ': 'http:////jisho.org/search/%E5%A2%83%20%E3%81%8D%E3%82%87%E3%81%86', 'ケイ': 'http:////jisho.org/search/%E5%A2%83%20%E3%81%91%E3%81%84'}",{'さかい': 'http:////jisho.org/search/%E5%A2%83%20%E3%81%95%E3%81%8B%E3%81%84'},"['境  【サカイ】  border, boundary, turning point, watershed, area, region, spot, space, environment, psychological state, mental state, cognitive object, something perceptible by the sense organs or mind', '境界  【キョウカイ】  boundary', '越境  【エッキョウ】  border transgression', '推奨環境  【スイショウカンキョウ】  system requirements (i.e. recommended hardware and software to run a package)', '境内  【ケイダイ】  grounds (esp. of shrines and temples), compound, churchyard, precincts']","['境  【さかい】  border, boundary, turning point, watershed, area, region, spot, space, environment, psychological state, mental state, cognitive object, something perceptible by the sense organs or mind', '境目  【さかいめ】  borderline, boundary', '生死の境  【せいしのさかい】  between life and death']"
橋,16,553,grade 3,N2,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '冂': 'http:////jisho.org/search/%E5%86%82%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji'}",{'木': 'tree'},{'キョウ': 'http:////jisho.org/search/%E6%A9%8B%20%E3%81%8D%E3%82%87%E3%81%86'},{'はし': 'http:////jisho.org/search/%E6%A9%8B%20%E3%81%AF%E3%81%97'},"['橋  【キョウ】  pons (pontes), pons Varolii, pontine, part of the brain stem (links the medulla oblongata and cerebellum with the midbrain)', '橋脚  【キョウキャク】  bridge pier, pontoon bridge', '桟橋  【サンバシ】  wharf, bridge, jetty, pier', '石橋  【イシバシ】  stone bridge']","['橋  【はし】  bridge', '橋渡し  【はしわたし】  bridge building, mediation, go-between, intermediary, (through the) good offices (of someone)', '舟橋  【ふなはし】  pontoon', '浮き橋  【うきはし】  floating bridge, pontoon bridge']"
矯,17,2105,junior high,N1,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '冂': 'http:////jisho.org/search/%E5%86%82%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'矢': 'arrow'},{'キョウ': 'http:////jisho.org/search/%E7%9F%AF%20%E3%81%8D%E3%82%87%E3%81%86'},{'た.める': 'http:////jisho.org/search/%E7%9F%AF%20%E3%81%9F%E3%82%81%E3%82%8B'},"['矯正  【キョウセイ】  correction (of fault, defect, flaw, etc.), remedy, rectification, redress, reform', '矯角殺牛  【キョウカクサツギュウ】  trying to straighten the horns of a bull, and killing it in the process, trying to correct a small defect and ruining the whole thing, the cure is worse than the disease', '奇矯  【キキョウ】  eccentric']","['矯める  【ためる】  to straighten, to correct, to cure, to falsify']"
鏡,19,1506,grade 4,N1,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '金': 'http:////jisho.org/search/%E9%87%91%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}","{'金 (釒)': 'metal, gold'}","{'キョウ': 'http:////jisho.org/search/%E9%8F%A1%20%E3%81%8D%E3%82%87%E3%81%86', 'ケイ': 'http:////jisho.org/search/%E9%8F%A1%20%E3%81%91%E3%81%84'}",{'かがみ': 'http:////jisho.org/search/%E9%8F%A1%20%E3%81%8B%E3%81%8C%E3%81%BF'},"['鏡面  【キョウメン】  mirror surface', '鏡台  【キョウダイ】  dresser', '内視鏡  【ナイシキョウ】  endoscope', '万華鏡  【マンゲキョウ】  kaleidoscope', '明鏡  【メイキョウ】  polished mirror, clear mirror', '鸞鏡  【ランキョウ】  mirror with a mythical Chinese bird carved into the back, (in Japan) 9th note of the ancient chromatic scale (approx. A sharp)']","['鏡  【かがみ】  mirror, looking-glass, barrel head, page added at the beginning of a document mentioning its purpose, date, author, etc., mirror-shaped mochi', '鏡板  【かがみいた】  panel, scene-panel, painted backdrop (panel at the back of a noh stage), on which a pine tree is painted', '懐中鏡  【かいちゅうかがみ】  pocket mirror', '化粧鏡  【けしょうかがみ】  bathroom mirror, vanity mirror']"
競,20,610,grade 4,N2,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji'}","{'立': 'stand, erect'}","{'キョウ': 'http:////jisho.org/search/%E7%AB%B6%20%E3%81%8D%E3%82%87%E3%81%86', 'ケイ': 'http:////jisho.org/search/%E7%AB%B6%20%E3%81%91%E3%81%84'}","{'きそ.う': 'http:////jisho.org/search/%E7%AB%B6%20%E3%81%8D%E3%81%9D%E3%81%86', 'せ.る': 'http:////jisho.org/search/%E7%AB%B6%20%E3%81%9B%E3%82%8B', 'くら.べる': 'http:////jisho.org/search/%E7%AB%B6%20%E3%81%8F%E3%82%89%E3%81%B9%E3%82%8B'}","['競演  【キョウエン】  recital contest', '競泳  【キョウエイ】  competitive swimming, swimming race', '競馬  【ケイバ】  horse racing', '競売  【キョウバイ】  auction']","['競う  【きそう】  to compete, to contend, to vie, to contest', '競る  【せる】  to compete, to bid, to sell at auction', '比べる  【くらべる】  to compare, to make a comparison, to compete, to vie']"
響,20,502,junior high,N1,"{'幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '邦': 'http:////jisho.org/search/%E9%82%A6%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '艮': 'http:////jisho.org/search/%E8%89%AE%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}",{'音': 'sound'},{'キョウ': 'http:////jisho.org/search/%E9%9F%BF%20%E3%81%8D%E3%82%87%E3%81%86'},{'ひび.く': 'http:////jisho.org/search/%E9%9F%BF%20%E3%81%B2%E3%81%B3%E3%81%8F'},"['響岩  【キョウガン】  phonolite, clinkstone', '響笛  【キョウテキ】  vibrating pipe', '交響  【コウキョウ】  reverberation', '好影響  【コウエイキョウ】  favorable influence, favourable influence']","['響く  【ひびく】  to resound, to be heard far away, to reverberate, to shake, to vibrate, to come (home), to remain (with someone), to have an effect, to make an impression']"
